product_type,cost_per_unit,time_delivery,revenue,generic_holiday,day_of_week,number_of_product_units
249,211,11,4854,0,6,26
43,1158,12,3931,0,6,4
635,503,13,6611,0,4,15
111,1986,13,5815,0,4,4
868,1716,5,7451,0,3,5
929,327,6,6641,0,5,23
930,239,8,8892,0,1,42
479,451,9,10508,0,4,27
130,78,11,4191,0,3,61
882,1454,8,9763,0,5,8
810,387,12,7390,0,2,22
808,1573,11,9851,0,1,8
260,1890,10,7400,0,6,5
230,1279,9,8815,0,2,8
233,443,12,9388,0,4,24
885,371,5,6166,0,4,19
985,1024,8,9819,0,5,11
89,321,9,6063,0,3,22
518,1278,5,4074,0,1,4
912,1732,13,5220,0,3,4
894,322,9,6415,0,3,23
1101,1402,7,10150,0,3,9
222,867,13,6496,0,4,9
276,483,9,3740,0,5,9
998,1379,11,3785,0,6,4
783,1975,12,6491,0,5,4
866,1533,6,14704,0,1,11
469,174,7,12765,0,2,83
369,1436,9,7342,0,2,6
76,661,10,9320,0,2,16
16,1173,13,5414,0,6,6
497,361,10,7176,0,6,23
1034,154,13,10010,0,1,73
444,56,7,12963,0,6,260
1111,1269,11,4152,0,4,4
799,490,12,13496,0,6,31
1058,1689,7,10289,0,3,7
1057,1228,11,6744,0,6,7
856,1748,10,9392,0,4,7
641,1359,9,5954,0,3,5
755,1887,11,12158,0,3,8
116,1457,9,7138,0,4,6
1008,689,5,4392,0,4,8
850,1966,11,5740,0,5,4
833,1794,14,6414,0,1,5
905,987,13,6123,0,4,7
508,1522,6,5266,0,4,4
622,1437,14,3653,0,2,3
894,322,9,10035,0,3,35
284,1334,7,5486,0,3,5
367,598,6,4178,0,6,8
414,383,7,8077,0,6,24
606,236,11,5153,0,1,25
383,1599,8,14248,0,2,10
824,528,6,6682,0,5,15
1009,281,13,5049,0,3,21
759,680,5,6782,0,5,12
261,1278,6,8998,0,3,8
417,1281,11,7602,0,5,7
807,1717,9,10720,0,2,7
492,63,7,10781,0,2,192
408,1995,9,4586,0,5,3
146,185,9,6617,0,1,41
873,595,6,3635,0,4,7
130,78,11,7278,0,3,105
109,1903,13,5082,0,6,3
10,1379,12,7284,0,1,6
649,471,9,3252,0,3,8
1090,1773,11,2592,0,6,2
302,1786,13,4421,0,6,3
570,1977,13,4385,0,4,3
1052,281,6,6104,0,3,25
1036,486,14,6616,0,1,16
372,479,6,8804,0,5,21
186,1195,8,2499,0,2,3
22,344,9,2872,0,6,10
665,799,9,6597,0,3,10
1058,1689,7,5553,0,4,4
170,982,10,7622,0,3,9
103,1468,5,3808,0,6,3
581,165,11,2426,0,6,17
568,1090,13,2943,0,2,4
258,1224,12,3946,0,6,4
148,789,5,9151,0,4,13
67,1161,10,3479,0,6,4
335,837,6,11139,0,2,15
441,1777,8,6777,0,4,5
1086,1217,8,6769,0,4,7
832,206,5,4903,0,1,27
551,865,6,5327,0,4,7
6,533,10,5896,0,5,13
713,80,11,7460,0,2,105
206,1545,13,6307,0,4,5
267,1123,10,10035,0,4,11
566,418,8,6287,0,2,17
237,1243,5,3021,0,6,3
360,179,14,6470,0,5,41
786,1584,12,744,0,6,1
311,57,12,4990,0,2,99
825,1107,10,4635,0,6,5
747,1589,10,10927,0,1,8
688,1010,7,1451,0,6,2
467,1291,14,14012,0,6,13
67,1161,10,9451,0,2,10
620,1447,9,5693,0,3,5
940,261,8,5946,0,2,26
1007,1568,13,4342,0,1,4
715,382,5,5732,0,2,17
60,1552,11,7163,0,1,6
1098,479,13,6809,0,2,16
898,1202,9,2001,0,6,2
55,756,12,5840,0,2,9
791,203,6,9434,0,2,53
291,1395,5,4192,0,6,4
94,1407,14,5396,0,6,5
102,1651,8,6601,0,6,5
892,945,14,7098,0,5,9
92,482,10,3918,0,2,10
1028,1250,13,3505,0,3,4
836,353,11,5581,0,4,18
1085,1956,10,6321,0,5,4
517,1670,9,5995,0,4,5
31,801,11,4512,0,4,7
1032,1737,7,12218,0,5,8
512,133,13,5209,0,3,44
954,1579,10,8934,0,3,7
178,1984,11,4893,0,6,3
86,1387,14,6040,0,2,5
523,300,13,12642,0,5,48
425,1774,14,2788,0,3,2
561,1478,9,5360,0,6,5
907,50,5,3921,0,1,88
1052,281,6,4971,0,3,20
1058,1689,7,7532,0,3,5
634,1298,7,12225,0,1,11
377,1240,8,5030,0,4,5
173,832,9,9322,0,5,13
159,1643,13,5820,0,2,4
501,663,6,4098,0,2,7
121,629,12,7037,0,1,13
786,1584,12,4282,0,4,4
858,1109,14,5149,0,6,6
545,283,13,10892,0,5,44
560,1578,7,10526,0,2,8
714,749,5,3383,0,3,6
923,456,11,4472,0,6,11
851,1394,11,3399,0,2,3
581,165,11,7982,0,2,55
302,1786,13,4607,0,5,3
404,652,12,4077,0,4,8
958,824,9,5174,0,2,8
499,1952,10,3034,0,4,2
118,67,8,17192,0,1,288
416,778,7,8636,0,4,13
176,1722,9,4744,0,1,4
616,1246,10,6347,0,1,6
740,793,13,5424,0,3,8
345,861,6,3118,0,6,5
830,1160,7,5430,0,3,6
1003,1224,6,4594,0,6,5
334,786,12,4211,0,4,7
594,284,8,4028,0,5,16
726,1666,14,18951,0,1,13
1054,1157,11,5859,0,3,6
337,1480,11,3770,0,2,3
419,131,9,4584,0,5,40
45,1819,6,6008,0,4,4
435,1228,9,2782,0,1,3
486,681,14,3336,0,2,6
958,824,9,4157,0,5,6
887,420,7,4565,0,6,13
803,308,14,5467,0,4,20
395,1538,8,5012,0,1,4
335,837,6,12794,0,1,18
962,454,7,4616,0,3,12
112,1540,10,5204,0,4,4
618,1276,12,4717,0,3,5
1048,357,12,7424,0,5,24
323,108,13,5750,0,1,60
938,196,9,8805,0,5,51
124,760,12,7843,0,1,12
559,1010,14,4911,0,2,6
394,1017,7,8777,0,5,10
239,1749,6,5160,0,3,4
256,1394,5,5795,0,2,5
236,302,7,6697,0,1,25
695,284,9,3657,0,2,15
69,1268,7,11547,0,1,11
644,469,5,11776,0,4,29
565,520,5,5662,0,5,13
971,422,10,11502,0,1,31
811,834,13,3814,0,4,6
845,1530,11,4505,0,3,4
875,1330,12,4761,0,5,5
1014,474,10,0,0,7,0
850,1966,11,4693,0,2,3
161,510,8,5209,0,4,12
114,201,12,6088,0,3,34
170,982,10,4026,0,6,5
928,1459,5,5745,0,1,5
862,1940,10,5961,0,6,4
693,351,8,7104,0,3,23
934,1430,6,5913,0,1,5
955,1625,5,5556,0,5,4
1066,1303,6,14657,0,1,13
622,1437,14,3571,0,3,3
532,965,11,13453,0,1,16
311,57,12,6511,0,4,128
397,77,6,5324,0,5,78
36,369,8,9312,0,3,29
813,1098,9,7588,0,1,8
390,1536,10,10253,0,1,8
46,1423,11,3565,0,3,3
475,1218,5,4843,0,2,5
785,1177,7,9502,0,1,10
108,1543,5,10825,0,2,8
378,931,10,7050,0,4,9
882,1454,8,7373,0,1,6
392,1607,8,8507,0,3,6
381,556,10,7992,0,4,17
870,1432,14,6266,0,5,5
398,1092,14,4047,0,2,5
1081,1200,6,6500,0,2,7
28,1930,8,4288,0,3,3
62,489,11,6459,0,5,15
634,1298,7,4454,0,3,4
201,1862,13,5738,0,5,4
564,125,12,4356,0,2,40
173,832,9,5955,0,5,9
282,89,6,5310,0,2,67
881,1674,10,2186,0,6,2
339,1801,11,4837,0,5,4
232,1132,10,2384,0,3,3
482,433,5,5342,0,3,14
331,614,5,4917,0,2,9
31,801,11,7571,0,1,11
521,724,6,4769,0,6,8
873,595,6,2145,0,6,5
1084,1659,13,7198,0,2,5
1020,424,10,10305,0,6,28
548,1288,7,5201,0,4,5
598,655,8,6415,0,6,11
967,1089,5,9892,0,4,11
956,1129,6,2423,0,2,3
592,1602,13,4547,0,3,4
40,585,11,8438,0,6,17
476,355,8,5014,0,4,16
911,184,10,8197,0,6,50
84,744,14,14942,0,3,23
639,350,7,2475,0,6,8
710,115,7,4528,0,4,45
272,1527,11,4932,0,4,4
1103,829,10,4001,0,6,6
188,1421,5,3107,0,5,3
795,1112,9,6841,0,1,7
347,1439,14,3987,0,5,4
315,880,7,3355,0,4,5
651,1008,12,8901,0,2,10
606,236,11,5588,0,1,27
307,1058,8,1122,0,6,2
112,1540,10,6173,0,5,5
1085,1956,10,10120,0,1,6
365,1429,9,3694,0,4,3
142,396,12,3580,0,3,11
1024,795,14,5956,0,4,9
505,176,12,5634,0,3,36
542,216,5,8218,0,1,43
845,1530,11,4015,0,2,3
16,1173,13,5849,0,4,6
47,1198,8,7670,0,6,8
17,578,5,5296,0,3,11
615,1979,11,9653,0,2,6
692,1295,8,12217,0,1,11
547,297,8,7527,0,1,29
455,1807,10,0,1,3,0
475,1218,5,7010,0,6,7
459,1765,10,11048,0,4,8
950,664,8,0,1,4,0
599,406,5,9511,0,4,27
734,752,6,3943,0,4,6
891,372,13,7078,0,5,22
790,1957,5,9155,0,2,6
737,1146,6,5490,0,5,6
223,1952,5,5172,0,1,3
1028,1250,13,3894,0,1,4
1084,1659,13,4834,0,5,4
767,984,14,4964,0,3,6
707,1615,10,13203,0,5,10
844,403,10,0,1,4,0
109,1903,13,6552,0,2,4
147,349,8,5173,0,3,17
51,1093,9,6818,0,5,7
707,1615,10,11942,0,5,9
697,208,7,10564,0,6,57
1101,1402,7,10578,0,4,9
304,1347,5,8148,0,6,7
984,506,11,4621,0,5,11
1062,1124,5,7669,0,4,8
383,1599,8,20450,0,6,15
1002,76,6,4890,0,5,73
490,1109,13,7347,0,4,8
1089,866,7,10655,0,6,14
39,1083,13,3623,0,1,4
1053,1133,10,6952,0,3,7
942,1472,5,0,1,2,0
151,1223,14,6416,0,2,6
935,291,14,11326,0,1,44
980,1209,9,5027,0,6,5
840,1825,7,8796,0,2,6
408,1995,9,5474,0,2,4
588,717,9,6497,0,2,11
338,285,8,10876,0,1,43
6,533,10,4319,0,6,10
814,1933,14,10724,0,5,7
911,184,10,13936,0,2,85
955,1625,5,4130,0,4,3
257,1987,9,3129,0,6,2
119,573,10,5345,0,3,11
495,1243,6,3959,0,6,4
427,915,6,9765,0,3,12
63,984,9,6108,0,4,7
1071,1591,9,7988,0,1,6
493,882,9,8545,0,6,11
517,1670,9,5303,0,5,4
664,670,11,5965,0,2,10
921,736,14,0,1,1,0
171,369,9,9232,0,3,29
144,561,5,7380,0,3,15
66,182,5,6750,0,5,42
886,1325,12,8294,0,2,8
1066,1303,6,9659,0,1,9
419,131,9,6858,0,1,59
162,1896,11,10384,0,3,7
668,1838,11,13733,0,5,9
734,752,6,6863,0,2,11
713,80,11,11564,0,5,162
743,1474,7,5483,0,2,5
787,1045,13,11325,0,1,13
979,1329,11,4289,0,4,4
1047,669,13,4289,0,3,8
178,1984,11,8671,0,4,5
782,1579,5,6854,0,2,5
263,1696,6,2551,0,3,2
350,586,8,7644,0,6,15
585,970,7,3272,0,6,4
916,1202,10,4583,0,2,5
850,1966,11,5857,0,4,4
1098,479,13,6005,0,2,15
1059,492,9,6202,0,6,15
879,1570,7,3477,0,6,3
385,1089,8,4401,0,4,5
237,1243,5,3931,0,6,4
905,987,13,7520,0,5,9
536,369,8,7550,0,4,23
7,308,8,8652,0,5,32
698,771,11,15409,0,5,23
713,80,11,13732,0,1,193
677,541,13,9949,0,1,21
1093,1561,8,6672,0,2,5
620,1447,9,7531,0,4,6
629,1073,10,6332,0,4,7
891,372,13,6757,0,6,21
862,1940,10,7695,0,3,5
361,1916,14,3291,0,1,2
162,1896,11,7044,0,3,5
788,1578,11,14604,0,6,11
375,490,5,7579,0,5,18
162,1896,11,7925,0,5,5
350,586,8,7584,0,2,15
912,1732,13,3750,0,3,3
620,1447,9,7804,0,6,7
